ricardorio,"Ricardo Rio"
vitorsousa2013,"Vítor Sousa"
CarlosCarreiras,"Carlos Carreiras "
Liderar_Cascais,"João Cordeiro"
serCascais2012,"Isabel Magalhães "
costa2013Lx,"António Costa"
SentirLisboa,"Fernando Seara" 
ComPfacarla,"Paulo Freitas do Amaral"
PortoForte2013,"Luís Filipe Menezes"
PorTodos2013,"Manuel Pizarro"
ruimoreira2013,"Rui Moreira"
gaianpodeparar,"Carlos Abreu Amorim"
DedicadosaGaia,"Eduardo Vítor Rodrigues"
juntosporgaia,"Guilherme Aguiar"
antparada,"António Parada"
TodosporSintra,"Basílio Horta"
MARC0Almeida,"Marco Almeida"
